"Date_début";"Date_fin";"Produit";"Prix_au_produit";"Type";"Catégorie_produit";"Présence_de_porc";"Présence_d_alcool";"Composants";"Allergènes";"Allergènes_susceptibles_de_provenir_de_contaminations_croisées";"Kcal_pour_100_ml_ou_100g";"Recette_végétarienne";"Recette_végane";"BIO";"Sans_gluten";"Poids_cl_g";"Protéines_100g_100ml_";"Glucides_100g_100ml_";"Lipides_100g_100ml_"
2024-03-07;2024-06-26;"Café lungo, illy";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica";NA;NA;4;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Café espresso, illy";2,8;"Thé, café & chocolat";"Boissons";"NON";"NON";"Dosette de café, 60 milligrammes de caféine, mélange 100% Arabica";NA;NA;1;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-10-10;2025-03-05;"Salade de carotte et raisins";4,9;"Salades";"Salé";"NON";"NON";"Carotte 62,6%, raisin sec 13,9%, huile de Tournesol 10,3%, eau 7,5%, vinaigre d'Alcool 2,1%, persil 1,1%, sucre 1,1%, sel 0,7%, moutarde de dijon 0,5%, cumin 0,2%, gelling agent : gomme xanthane ou gomme de mais 0,04%, poivre 0,01%";"Moutarde";"Œuf, céleri, sésame, poisson, fruits à coque, mollusque, crustacé, lait, gluten, soja";164;"OUI";"OUI";"OUI";"OUI";150;1,1;14;11
2024-03-07;2024-06-26;"Décaféiné espresso, illy";2,8;"Thé, café & chocolat";"Boissons";"NON";"NON";"Capsule de 6,9 g de café moulu illy décaféiné, mélange 100% Arabica. Taux de caféine inférieur à 0,05%";NA;NA;4;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Bonbons Happy Life, Haribo";3,2;"Gourmandises";"Sucré";"OUI";"NON";"Sirop de glucose, sucre, dextrose, gélatine, amidon, acidifiants, acide citrique, acide malique, arôme, concentrés de fruits et de plantes : carthame, spiruline, pomme, sirop de caramel, correcteurs d'acidité : citrate monosodique, malate acide de sodium, colorants : curcumine, charbon végétal, lutéine, anthocyanes, agents d'enrobage : cire d'abeille blanche et jaune, cire de carnauba";"Gluten, lait";"Gluten, lait";346;"NON";"NON";"NON";"NON";120;4,4;81;0,5
2024-03-07;2024-06-26;"Café espresso illy 100% arabica – origine Guatemala";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"100% café arabica origine Guatemala";NA;NA;NA;"OUI";"OUI";"NON";"OUI";NA;NA;NA;NA
2024-06-27;2024-10-09;"Cake du moment";4,1;"Desserts";"Sucré";"NON";"NON";"Sucre 27%, blanc d'œuf 23%, farine 15%, beurre, huile de colza, noisette, poudres à lever (amidon, acidity regulator : carbonate acide de sodium (bicarbonate de sodium / bicarbonate de soude), autre additif : tartrate monopotassique)";"oeuf, fruits à coque, lait, gluten";"soja";499;"NON";"NON";"NON";"NON";80;7,2;46,7;31
2024-10-10;2025-03-05;"Salade de lentilles, petits légumes, noix, mousseline de carotte";9,9;"Salades";"Salé";"NON";"OUI";"Lentille verte 38%, carotte purée 13%, huile de tournesol et olive 12%, lentille corail (gluten) 10%, panais 7%, bouillon de légumes, carotte jaune, gomme de xanthane, lait demi écrémé, moutarde de dijon (sulfites, moutarde), noix (fruits à coque), persil, sel, vinaigre de cidre (sulfites), moutarde a l'ancienne (sulfites, moutarde)";"Sulfites, fruits à coque, lait, gluten, moutarde";"Arachide, oeuf, céleri, lupin, sésame, poisson, mollusque, crustacé, soja";208;"OUI";"NON";"NON";"NON";280;6,1;10,2;14,7
2024-03-07;2024-06-26;"Le croque-monsieur";7,9;"Chaud";"Salé";"OUI";"NON";"Pain de mie 37,80% (farine de blé, eau, huile de colza, sucre, levure, gluten de blé, sel, poudre de lactoserum, agent de traitement de la farine : E300), sauce type béchamel réhydratée 29,70% (eau, lactoserum, farine de blé, amidon modifié de pomme de terre E1414, poudre au beurre, poudre de lait écrémé, sel, arôme naturel, poivre, muscade), jambon cuit supérieur 21% [jambon de porc 19% (origine France), sel , bouillon (viande de porc et os de porc), arômes naturels, antioxydant : E300], Emmental 11% (lait de vache, sel, ferments lactiques, coagulants)";"Gluten, lait";NA;211;"NON";"NON";"NON";"NON";180;11,5;25,3;5
2024-03-07;2024-06-26;"M&M's ®";3;"Gourmandises";"Sucré";"NON";"NON";"Sucre, cacahuètes, pâte de cacao, lait entier en poudre, beurre de cacao, amidon, matière grasse de palme, sirop de glucose, lait écrémé en poudre, émulsifiant (lécithine de soja), lactose, stabilisant (gomme arabique), matière grasse de karité, matière grasse du lait, dextrine, agent d'enrobage (cire de carnauba), colorants, huile de palme, arômes, sel , peut contenir : (noisette, amande), E100, E120, E133, E160a, E160e, E170";"Lactose, fruits à coque, soja";"Noisette, amande";516;"NON";"NON";"NON";"OUI";82;10;58;25
2024-03-07;2024-06-26;"Brioche pur beurre aux pépites de chocolat";2,5;"Brioches";"Sucré";"NON";"OUI";"Farine de blé 40,8%, œuf 12,9% (poule élevée en plein air), beurre 11,6%, pépites de chocolat 10,7% (sucre, pâte de caco, beurre de cacao, émulsifiant : E322 soja, arôme vanille), eau 10,3%, sucre 7,6%, levure 1,4%, gluten de blé 1,1%, sel 0,9%, dorure 0,9% (eau, protéine de pois, sirop de glucose, farine de riz), arôme naturel 0,7%  (contient alcool), farine de blé malté 0,4%, farine de blé fermentée 0,3%, antioxydant : E300";"Gluten, œuf, lait";"Fruits à coque, sésame, soja";381;"OUI";"NON";"NON";"NON";60;8,8;49;16
2024-06-27;2024-10-09;"Madeleine pur beurre";3,2;"Gourmandises";"Sucré";"NON";"NON";"Sucre 27,7%, beurre 23,7%, farine de blé 23,7%, oeuf 23,7%, extrait de vanille, poudre à lever (amidon de maïs, bicarbonate de sodium, tartrate monopotassique), sel";"oeuf, lait, gluten";"fruits à coque, soja";474;"OUI";"NON";"NON";"NON";60;6,6;53;26
2024-03-07;2024-06-26;"Cappuccino moyen, illy";3,8;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 15g de lait (lait entier, sirop de glucose, sucre), capsule de 14,5 g de café 100% Arabica, chocolat (chocolat en poudre 59.4% (sucre, cacao 32% minimum), lait écrémé en poudre 38.5%, lactose, antiagglomérant (E551), sel, arôme)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"La véritable chips cite au chaudron BCBG";3;"Encas salés";"Salé";"NON";"NON";"Pommes de terre 63,5%, huile de tournesol 36 %, sel marin de Camargue 0,5%";NA;NA;552;"OUI";"OUI";"NON";"OUI";40;6,2;47;36
2024-03-07;2024-06-26;"Latte Macchiato moyen, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica, Capsule de 15g de lait (lait entier, sirop de glucose, sucre)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Moelleux chocolat";4,1;"Desserts";"Sucré";"NON";"NON";"Œuf issu de poule élevée en pleine air 26,0%, Beurre, Chocolat (pâte de cacao, sucre, émulsifiant:lécithine (SOJA), arôme naturel de vanille) 21%, sucre, farine de BLE, Poudres à lever (bicarbonate de sodium, tartrate monopotassique)";"Gluten, lait, œuf, soja";"Fruits à coque";462;"OUI";"NON";"NON";"NON";60;6,4;45;30
2024-03-07;2024-06-26;"Coca-Cola sans sucres (33cl)";3,4;"Boissons fraîches";"Boissons";"NON";"NON";"Eau gazéifiée, colorant : E150d, acidifiants : acide phosphorique, citrate de sodium, édulcorants : aspartame, acésulfame-K, arômes naturels (extraits végétaux), dont caféine. Contient une source de phénylalanine";NA;NA;1;"NON";"NON";"NON";"NON";33;0,01;0,01;NA
2024-06-27;2024-10-09;"Purée de fruit du moment, sans sucre ajoutés";3,9;"Desserts";"Sucré";"NON";"NON";"Pomme 95,9%, citron 4%, acide ascorbique 0,1%";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-10-10;2025-03-05;"Boisson ananas coco passion sans sucres ajoutés Cidou (33cl)";4,4;"Boissons fraîches";"Sucré";"NON";"NON";"Jus d'ananas à base de concentré (40%), eau, jus de pomme à base de concentré, eau de coco (12%), purée d'ananas (5%), purée de pomme, jus de fruit de la passion à base de concentré (3%), arôme naturel de noix de coco, stabilisant: pectine, arôme, vitamine C";NA;NA;100;"NON";"NON";"NON";"NON";34;0;8,5;0
2024-10-10;2025-03-05;"Pizzeta aux quatre fromages";8,9;"Chaud";"Salé";"NON";"NON";"Farine De Blé 32%, Eau 26%, mozzarella (lait) 11%, chèvre fromage (lait) 9%, emmental (lait) 6,9%, bleu (lait) 6,6%, amidon de pomme de terre, beurre (lait), beurre concentré (lait), eau, farine de blé, huile d'olive extra vierge, levure, muscade, poivre blanc, sel, sucre, lactose et protéines de lait, origan";"Lait, gluten";"Oeuf, céleri, lupin, sésame, poisson, fruits à coque, mollusque, crustacé, moutarde, soja";273;"OUI";"NON";"NON";"NON";190;12;28;12
2024-10-10;2025-03-05;"Coquillettes au jambon, gruyère et Comté AOP, Thierry Marx";10,5;"Chaud";"Salé";"OUI";"NON";"Coquillettes au jambon (3), gruyère et Comté A.O.P Thierry Marx 100%";"gluten, lait, moutarde, œuf, soja";"Celery, poisson, lupin, mollusque, fruit à coque, arachide, sésame, crustacé, sulfite";272;"NON";"NON";"NON";"NON";300;11,4;5,8;10,3
2024-03-07;2024-06-26;"Brioche pur beurre nature";2,3;"Brioches";"Sucré";"NON";"OUI";"Farine de blé 46,4%, œuf 14,6% (poule élevée en plein air), beurre 13,1%, eau 10,6%, sucre 8,6%, levure 1,4%, gluten de blé 1,2%, sel 1%, dorure 0,9% (eau, protéine de pois, sirop de glucose, farine de riz), arôme naturel 0,7% (contient alcool), farine de blé malté 0,4%, farine de blé fermentée 0,3%, antioxydant : E300";"Gluten, œuf, lait";"Fruits à coque, sésame, soja";359;"OUI";"NON";"NON";"NON";60;9,2;48;14
2024-03-07;2024-06-26;"Chocolat chaud BIO grand, Monbana";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";NA;NA;NA;NA;"OUI";"NON";"OUI";"OUI";NA;NA;NA;NA
2024-03-07;2024-06-26;"Coca-Cola Regular (33cl)";3,4;"Boissons fraîches";"Boissons";"NON";"NON";"Eau gazéifiée, sucre, colorant : caramel (E 150d), acidifiant : acide phosphorique, arômes naturels (extraits végétaux), dont caféine";NA;NA;42;"NON";"NON";"NON";"NON";33;0,01;10,6;NA
2024-03-07;2024-06-26;"Bière Heineken (33cl)";4,6;"Bières";"Boissons";"NON";"OUI";"Eau, malt d'orge, houblon";"Gluten";NA;42;"OUI";"OUI";"NON";"NON";33;NA;3,2;NA
2024-03-07;2024-06-26;"Bière Heineken (50cl)";6,2;"Bières";"Boissons";"NON";"OUI";"Eau, malt d'orge, houblon";"Gluten";NA;42;"OUI";"OUI";"NON";"NON";50;NA;3,2;NA
2024-03-07;2024-06-26;"Thé noir breakfast, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Thé noir";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-03-07;2024-06-26;"Thé noir earl grey, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Thé noir, huile essentielle de bergamote";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-10-10;2025-03-05;"Merveilles du Monde, chocolat noir noisettes et amandes pilées, Fairtrade";4,4;"Gourmandises";"Sucré";"NON";"NON";"Pâte De Cacao 64%, Sucre 18%, Amandes Hachées 6,5%, Noisettes Hachées 6,5%, Beurre De Cacao 4%, Arôme NaturelDe Vanille 0,5%, lécithine de colza 0,5%";"Fruits à coque";NA;565;"NON";"NON";"NON";"OUI";100;9,8;36;40
2024-10-10;2025-03-05;"Burger bœuf origine France, Reblochon AOP, sauce lardons, oignons et vin d’Alsace Riesling AOC";9,4;"Chaud";"Salé";"OUI";"OUI";"Pain spécial (gluten) 37%, steak haché cuit de viande Bovine 24% [France], Fromage (lait) 10%, reblochon (lait) 10%, lardons fumes 7,8% [France], riesling 0,7%, oignon préfrit 0,5%, conservateur, mayonnaise (oeuf, moutarde), sel";"Oeuf, lait, gluten, moutarde";"Céleri, lupin, sésame, poisson, fruits à coque, mollusque, crustacé, soja";293;"NON";"NON";"NON";"NON";185;13;23;16
2024-10-10;2025-03-05;"Plat du moment";10,5;"Chaud";"Salé";"NON";"NON";"Recette du moment";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Chocolat chaud BIO moyen, Monbana";3,8;"Boissons Gourmandes";"Boissons";"NON";"NON";NA;NA;NA;NA;"OUI";"NON";"OUI";"OUI";NA;NA;NA;NA
2024-03-07;2024-06-26;"Eau minérale naturelle plate, Eau Neuve (50cl)";3,1;"Boissons fraîches";"Boissons";"NON";"NON";"Eau 100%";NA;NA;0;"OUI";"OUI";"NON";"OUI";50;0;0;0
2024-03-07;2024-06-26;"Bière Gallia Champ Libre, blonde non filtrée 33cl";6,9;"Bières";"Boissons";"NON";"OUI";"Eau, malt d'orange, malt de seigle, houblon, levure";"Gluten, sulfites";"Gluten, Sulfites";47;"OUI";"OUI";"NON";"NON";33;0;3,3;0
2024-10-10;2025-03-05;"Syrah – Grenache rouge, Vin de France, Les Niçois";6,6;"Vin";"Boissons";"NON";"OUI";"Vin rouge 100% Syrah – Grenache";"Sulfites";NA;NA;"OUI";"OUI";"NON";"NON";25;NA;NA;NA
2024-03-07;2024-06-26;"Thé vert menthe, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Thé vert, arôme naturel de menthe";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-03-07;2024-06-26;"Infusion rooibos citron et vanille, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Rooibos, arôme naturel de vanille, huile essentielle de citron bio";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-10-10;2025-03-05;"Club jambon, emmental, fromage à tartiner, ciboulette";6,9;"Sandwichs";"Salé";"OUI";"NON";"Pain de mie 41,18% (farine de blé, eau, huile de colza, farine d'orge maltée torréfiée, gluten de blé, farine de blé malté, levures, sel, extrait d'acérola), jambon cuit supérieur 24,71% (jambon de porc, sel, dextrose, poudre de légumes déshydratés), emmental 20%, fromage 8,75%, fromage blanc 0% de matières grasses 5,11%, sel, fleur de sel, épaississant : gomme xanthane, poivre";"Gluten, lait";"Céleri, crustacés, fruits à coque, mollusques, moutarde, œuf, poisson, sésame, soja";254;"NON";"NON";"NON";"NON";170;13;18;14
2024-10-10;2025-03-05;"Sandwich poulet mayonnaise, tomates mi-séchées";6,9;"Sandwichs";"Salé";"NON";"NON";"Farine de blé 31,1%, eau 22,1%, emincée de filet de poulet traité en salaison rôti 13,3% [France], huile de colza 11,6%, tomate semi-déshydratée 10,7%, farine de seigle 3,6%, graines de lin 1,8%, Tomate cerise mi-séchée marinée 1,3%, jaune d'œuf 1,1%, sel fin 0,8%, levure de panification 0,7%, améliorant de farine 0,5%, vinaigre d'alcool 0,5%, moutarde de dijon 0,4%, améliorant 0,3%, herbes aromatiques 0,3%";"Oeuf, gluten, moutarde, soja";"Céleri, sésame, poisson, fruits à coque, mollusque, crustacé, lait";298;"NON";"NON";"NON";"NON";225;8,6;29;16
2024-03-07;2024-06-26;"Mini saucissons secs, Auvernou";3,8;"Encas salés";"Salé";"OUI";"NON";"Viande de porc 94,01% [épaule, maigre, bardière (orignie France)], lactose 2,80%, sel nitrité 1,80%, sel, dextrose, sucre, poivre noir, poivre blanc, ail, macis, ferments, clou de girofle, nitrate de potassium";"Lait";"Fruit à croque";496;"NON";"NON";"NON";"NON";75;29;2,6;2,5
2024-10-10;2025-03-05;"Noix de cajou aux herbes de Provence, Les Niçois";3,9;"Encas salés";"Salé";"NON";"NON";"Noix de cajou 93,7%, herbes de provence 3,1%, sel de mer 2%";"Fruits à coque";NA;614;"NON";"NON";"NON";"NON";30;21;25;48
2024-03-07;2024-06-26;"Yaourt vanille, Beillevaire";3,4;"Desserts";"Sucré";"NON";"NON";"Lait entier 84%, lait écrémé, sucre de canne 8%, lait écrémé en poudre 7%, extrait pur de vanille 0,74%, grains de vanille, ferments lactiques";"Lait";"lait";89;"OUI";"NON";"NON";"OUI";125;3,2;12;3,1
2024-10-10;2025-03-05;"Crème gourmande du moment Beillevaire";4,9;"Desserts";"Sucré";"NON";"NON";"Recette du moment";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Double espresso, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 14,5 g de café 100% Arabica";NA;NA;2;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Cappuccino grand, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"2 Capsules de 15g de lait (lait entier, sirop de glucose, sucre), capsule de 14,5 g de café 100% Arabica, chocolat (chocolat en poudre 59.4% (sucre, cacao 32% minimum), lait écrémé en poudre 38.5%, lactose, antiagglomérant (E551), sel, arôme)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Latte Macchiato grand, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica, 2 Capsules de 15g de lait (lait entier, sirop de glucose, sucre)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-06-27;2024-10-09;"Carignan - Grenache - Syrah rosé, Vin de France, Rosé Garcia (25cl)";6,6;"Vins";"Boissons";"NON";"OUI";NA;NA;NA;NA;"OUI";"OUI";"NON";"NON";25;NA;NA;NA
2024-03-07;2024-06-26;"Café noisette, illy";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"Dosette de café 6 g de caféine mélange 100% Arabica, coupelle 10gr de lait entier de vache";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Café americano, illy";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica";NA;NA;4;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-10-10;2025-03-05;"Petits carrés chocolat au lait et cœur caramel, Michel et Augustin";2,5;"Gourmandises";"Sucré";"NON";"NON";"Farine de blé 42,1%, sirop de sucre inverti 17,9%, beurre 15,4%, sucre roux de canne 11,9%, chocolat au lait 11,2%, sucre 4,5%, lait concentre sucre 2,9%, beurre de cacao 2,1%, huile de tournesol 2%, lait entier en poudre 0,9%, sel de guérande 0,5%, caramel ordinaire 0,3%, arôme naturelde vanille, emulsifiant, sel, arômes naturels, gelling agent : pectines, agent épaississant naturel";"lait, gluten, soja";"oeuf, fruits à coque";485;"NON";"NON";"NON";"NON";37,6;5,9;67;21
2024-03-07;2024-06-26;"Eau minérale naturelle gazeuse, Ô9 (33cl)";3,4;"Boissons fraîches";"Boissons";"NON";"NON";NA;NA;NA;NA;"OUI";"OUI";"NON";"OUI";50;NA;NA;NA
2024-03-07;2024-06-26;"Pur jus de pomme, C'est qui le patron ?";3,7;"Boissons fraîches";"Boissons";"NON";"NON";"Jus de pomme 100%";NA;NA;44;"OUI";"OUI";"NON";"OUI";33;0,5;10;0,5
2024-03-07;2024-06-26;"Pur jus d'orange, Cidou";3,8;"Boissons fraîches";"Boissons";"NON";"NON";"Orange 100 %";NA;NA;41;"OUI";"OUI";"NON";"OUI";33;0,1;9,4;0,5
2024-03-07;2024-06-26;"Fuze Tea Pêche Intense 33cl";3,4;"Boissons fraîches";"Boissons";"NON";"NON";"Infusion de thé noir 95 % (eau, infusion de thé noir concentrée), sucre, jus de pêche à base de concentré 0,1 %, acidifiants : acide citrique, citrate de sodium, acide malique, arômes naurels de pêche et  thé avec autres arômes naturels, antioxydant : acide ascorbique, edulcorant : glycosides de stéviol";NA;NA;19;"OUI";"OUI";"NON";"OUI";33;0;4,3;0
